family,scheme,snr_db,frames,negative_trials,positive_trials,fp,fn,fer,noiseless_fp,mean_iterations,balanced_error,noiseless_balanced_error,fp_lo95,fp_hi95,fp_events,fn_lo95,fn_hi95,fn_events,fer_lo95,fer_hi95,fer_events,balanced_error_lo95,balanced_error_hi95,balanced_error_events
exact,bfc,-4.0,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,31.6682,0.002371111111111111,0.002371111111111111,0.004657407407407407,0.00482037962962963,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002329259259259259,0.0024133333333333333,12804
exact,bfc,-3.9,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,29.3779,0.002371111111111111,0.002371111111111111,0.004661851851851852,0.004824444444444445,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002328888888888889,0.0024109305555555555,12804
exact,bfc,-3.8,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,27.3115,0.002371111111111111,0.002371111111111111,0.004661101851851852,0.004827046296296296,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.00232925,0.002412037037037037,12804
exact,bfc,-3.7,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,25.5491,0.002371111111111111,0.002371111111111111,0.0046588703703703705,0.004825185185185185,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002328888888888889,0.0024125925925925925,12804
exact,bfc,-3.6,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,24.0195,0.002371111111111111,0.002371111111111111,0.00465962037037037,0.004823333333333333,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023303657407407405,0.0024133333333333333,12804
exact,bfc,-3.0,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,17.5202,0.002371111111111111,0.002371111111111111,0.004662962962962963,0.00482075,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023305555555555558,0.0024131574074074073,12804
exact,bfc,0.0,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,6.2697,0.002371111111111111,0.002371111111111111,0.004662203703703704,0.004826305555555556,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002329990740740741,0.0024127824074074073,12804
exact,bfc,1.1,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,4.6459,0.002371111111111111,0.002371111111111111,0.004659990740740741,0.004824074074074074,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023311064814814813,0.0024135185185185184,12804
exact,bfc,1.2,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,4.5305,0.002371111111111111,0.002371111111111111,0.004664435185185185,0.004827805555555556,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023275833333333334,0.002409263888888889,12804
exact,bfc,1.3,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,4.3993,0.002371111111111111,0.002371111111111111,0.004662592592592592,0.004827407407407407,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023301805555555554,0.0024137083333333332,12804
exact,bfc,1.4,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,4.3019,0.002371111111111111,0.002371111111111111,0.004658888888888889,0.004832601851851852,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.00232925,0.002413888888888889,12804
exact,bfc,1.5,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,4.218,0.002371111111111111,0.002371111111111111,0.004662592592592592,0.004825203703703703,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023305555555555558,0.0024118518518518517,12804
exact,bfc,1.6,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,4.1315,0.002371111111111111,0.002371111111111111,0.004657407407407407,0.004823333333333333,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023279490740740743,0.0024107499999999997,12804
exact,bfc,1.7,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,4.0439,0.002371111111111111,0.002371111111111111,0.004663703703703704,0.004824083333333334,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002331111111111111,0.0024114907407407405,12804
exact,bfc,1.8,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.9381,0.002371111111111111,0.002371111111111111,0.004661833333333334,0.00482337037037037,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023299953703703703,0.0024113055555555554,12804
exact,bfc,1.9,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.8257,0.002371111111111111,0.002371111111111111,0.004661842592592592,0.0048218518518518515,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002329259259259259,0.0024125925925925925,12804
exact,bfc,2.0,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.7101,0.002371111111111111,0.002371111111111111,0.00466,0.004823722222222221,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002331662037037037,0.002412967592592593,12804
exact,bfc,2.1,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.5985,0.002371111111111111,0.002371111111111111,0.004661453703703704,0.004824083333333334,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023311064814814813,0.0024116666666666666,12804
exact,bfc,2.2,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.492,0.002371111111111111,0.002371111111111111,0.00466,0.0048240925925925925,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002331847222222222,0.0024135185185185184,12804
exact,bfc,2.3,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.3915,0.002371111111111111,0.002371111111111111,0.004655916666666667,0.004826666666666667,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.0023290601851851853,0.0024127777777777776,12804
exact,bfc,2.4,10000,2700000,2700000,0.004742222222222222,0.0,0.0,0.004742222222222222,3.3095,0.002371111111111111,0.002371111111111111,0.004656287037037037,0.004825925925925926,12804,0.0,0.00029952835977664627,0,0.0,0.00029952835977664627,0,0.002329814814814815,0.0024133333333333333,12804
