family,epsilon,n_t,r,T,K,m,S,rate,bound,aligned
rank,0.01,61,31,1073741824,511306,15850486,21,0.3920987498438989,0.009999987669289112,False
rank,0.01,62,31,2147483648,1022612,31700972,21,0.40190360871738445,0.009999997448176146,True
rank,0.01,62,31,2147483648,1022612,31700972,21,0.40190360871738445,0.009999997448176146,False
rank,0.01,63,32,2147483648,1022612,32723584,21,0.39625122904906285,0.009999997448176146,True
rank,0.01,63,32,2147483648,1022612,32723584,21,0.39625122904906285,0.009999997448176146,False
rank,0.01,64,32,4294967296,2045223,65447136,21,0.4056847925733391,0.009999997448176146,True
rank,0.01,64,32,4294967296,2045223,65447136,21,0.4056847925733391,0.009999997448176146,False
rank,0.01,65,33,4294967296,2045223,67492359,21,0.40012647452387934,0.009999997448176146,True
rank,0.01,65,33,4294967296,2045223,67492359,21,0.40012647452387934,0.009999997448176146,False
rank,0.01,66,33,8589934592,4090446,134984718,21,0.4092154673341236,0.009999999892897904,True
rank,0.01,66,33,8589934592,4090446,134984718,21,0.4092154673341236,0.009999999892897904,False
rank,0.01,67,34,8589934592,4090446,139075164,21,0.40375059053647827,0.009999999892897904,True
rank,0.01,67,34,8589934592,4090446,139075164,21,0.40375059053647827,0.009999999892897904,False
rank,0.01,68,34,17179869184,8180891,278150294,21,0.4125189616116864,0.009999999892897904,True
rank,0.01,68,34,17179869184,8180891,278150294,21,0.4125189616116864,0.009999999892897904,False
rank,0.01,69,35,17179869184,8180891,286331185,21,0.4071465154389754,0.009999999892897904,True
rank,0.01,69,35,17179869184,8180891,286331185,21,0.4071465154389754,0.009999999892897904,False
rank,0.01,70,35,34359738368,16361781,572662335,21,0.4156158496730659,0.009999999892897904,True
rank,0.01,70,35,34359738368,16361781,572662335,21,0.4156158496730659,0.009999999892897904,False
rank,0.01,71,36,34359738368,16361781,589024116,21,0.41033452762833744,0.009999999892897904,True
rank,0.01,71,36,34359738368,16361781,589024116,21,0.41033452762833744,0.009999999892897904,False
rank,0.01,72,36,68719476736,32723561,1178048196,21,0.4185243252433974,0.009999999892897904,True
rank,0.01,72,36,68719476736,32723561,1178048196,21,0.4185243252433974,0.009999999892897904,False
rank,0.01,73,37,68719476736,32723561,1210771757,21,0.4133325997494691,0.009999999892897904,True
rank,0.01,73,37,68719476736,32723561,1210771757,21,0.4133325997494691,0.009999999892897904,False
rank,0.01,74,37,137438953472,65447121,2421543477,21,0.42126053729280505,0.009999999892897904,True
rank,0.01,74,37,137438953472,65447121,2421543477,21,0.42126053729280505,0.009999999892897904,False
rank,0.01,75,38,137438953472,65447121,2486990598,21,0.41615671876642946,0.009999999892897904,True
rank,0.01,75,38,137438953472,65447121,2486990598,21,0.41615671876642946,0.009999999892897904,False
rank,0.01,76,38,274877906944,130894242,4973981196,21,0.42383886720371333,0.009999999969295459,True
rank,0.01,76,38,274877906944,130894242,4973981196,21,0.42383886720371333,0.009999999969295459,False
rank,0.01,77,39,274877906944,130894242,5104875438,21,0.4188211508168944,0.009999999969295459,True
rank,0.01,77,39,274877906944,130894242,5104875438,21,0.4188211508168944,0.009999999969295459,False
rank,0.01,78,39,549755813888,261788483,10209750837,21,0.4262721616332045,0.009999999969295459,True
rank,0.01,78,39,549755813888,261788483,10209750837,21,0.4262721616332045,0.009999999969295459,False
rank,0.01,79,40,549755813888,261788483,10471539320,21,0.42133866434702616,0.009999999969295459,True
